"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Svelte", "XML", "HTML", "CSS", "JSON", "Log", "comment", "blank", "total"
"c:\Users\Usuario\school\src\lib\images\icons\chevron_right_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\clear_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\contact_mail_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\copy_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\curso_actual.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\database_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\description_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\details_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\donaciones_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\donantes_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\edit_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\email_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\error_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\face_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\female_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\filter_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\folder_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\historial_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\history_edu_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\home_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\lastname_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\login_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\logout_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\male_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\menu_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\name_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\permisos_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\personalizar_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\profesor.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\pwd_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\pwd_recovery.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\question_exchange_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\question_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\read_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\register_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\renew_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\school_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\search_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\seccion.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\square_foot_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\success_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\turnos_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
